iter	MAE	RMSE
0	70175.51676	107727.4565
75	11345.68757	25533.10737
150	10384.4634	23469.34488
225	10028.38299	22639.93123
300	9798.476478	22053.74992
375	9630.551168	21542.20463
450	9481.008291	21109.15325
525	9344.090885	20690.08409
600	9218.49226	20308.88938
675	9106.973838	19992.16438
750	9006.357488	19696.68568
825	8905.123798	19394.99861
900	8806.281797	19111.89825
975	8715.673172	18839.38239
1050	8627.426986	18591.69662
1125	8541.247143	18336.68172
1200	8466.856548	18127.63481
1275	8391.635328	17927.3081
1350	8316.500695	17726.91342
1425	8247.469981	17528.55619
1500	8182.461867	17351.83995
1575	8114.738865	17178.43477
1650	8052.522379	17006.95521
1725	7988.886544	16840.99414
1800	7929.333115	16683.10283
