iter	Passed	Remaining
0	554	68756
1	1410	86743
2	1791	72851
3	2456	74311
4	2952	70870
5	3265	64768
6	3599	60669
7	3906	57134
8	4286	55245
9	4555	52391
10	4908	50870
11	5172	48703
12	5527	47624
13	5829	46216
14	6260	45913
15	6561	44702
16	6912	43913
17	7207	42844
18	7497	41830
19	7841	41169
20	8142	40326
21	8453	39577
22	8793	38998
23	9086	38240
24	9420	37681
25	9734	37066
26	10058	36507
27	10343	35834
28	10673	35332
29	10987	34794
30	11306	34283
31	11794	34276
32	12108	33757
33	12406	33206
34	12750	32787
35	13079	32334
36	13369	31797
37	13701	31368
38	14008	30890
39	14313	30415
40	14629	29973
41	14930	29505
42	15268	29116
43	15586	28694
44	15898	28263
45	16294	27984
46	16830	27931
47	17351	27835
48	17733	27505
49	18085	27128
50	18411	26715
51	18780	26364
52	19117	25970
53	19674	25868
54	20066	25538
55	20387	25120
56	20718	24716
57	21191	24479
58	21543	24099
59	21951	23781
60	22352	23451
61	22740	23107
62	23121	22754
63	23448	22349
64	23822	21990
65	24244	21672
66	24568	21268
67	24930	20897
68	25269	20508
69	25585	20103
70	25944	19732
71	26300	19360
72	26676	19002
73	26970	18587
74	27301	18201
75	27664	17836
76	28021	17467
77	28364	17091
78	28673	16696
79	29026	16327
80	29324	15929
81	29677	15562
82	29968	15164
83	30275	14777
84	30628	14413
85	30996	14056
86	31323	13681
87	31810	13375
88	32110	12988
89	32459	12623
90	32800	12255
91	33128	11882
92	33433	11503
93	33778	11139
94	34089	10764
95	34426	10399
96	34759	10033
97	35087	9666
98	35398	9296
99	35753	8938
100	36066	8570
101	36359	8198
102	36695	7837
103	37016	7474
104	37305	7105
105	37621	6743
106	37938	6382
107	38232	6018
108	38557	5659
109	38870	5300
110	39198	4943
111	39517	4586
112	39840	4230
113	40181	3877
114	40476	3519
115	40789	3164
116	41114	2811
117	41435	2458
118	41752	2105
119	42094	1753
120	42401	1401
121	42697	1049
122	43010	699
123	43371	349
124	43696	0
